Using cuda device
Find 9524 files.
Reading 9524 files...
Read 989 sequences.
VQVAE(
  (egru): GRU(89, 96)
  (gru): GRU(96, 96)
  (relu): LeakyReLU(negative_slope=0.01)
  (dgru): GRU(96, 96)
  (linear): Linear(in_features=96, out_features=96, bias=True)
  (vq_layer): VectorQuantizer()
)
Start trainning...
Epoch 1
-----------------
vq_loss:  tensor(0., device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0960, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.3278e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0940, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(5.7564e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0906, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(6.6460e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0903, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.9157e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0887, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(5.9591e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0930, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.6273e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0929, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(6.7375e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0924, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.1262e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0906, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.5777e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0927, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.5212e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0942, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.8348e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0894, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.7015e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0904, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0286e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0928, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.9937e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0933, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.9923e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0903, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.2011e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0931, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.5658e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0907, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0225e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0915, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.7928e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0871, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.5706e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0890, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1114e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0891, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(6.3250e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0909, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0639e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0880, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.7664e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0900, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(4.8900e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0891, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1416e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0878, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(6.7373e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0899, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0056e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0905, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.0057e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0884, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.8443e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0879, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.8290e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0872, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.8579e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0873, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.9331e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0902, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.7755e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0906, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.4308e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0876, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.4749e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0887, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.0189e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0879, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.6334e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0950, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.3153e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0841, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(6.5600e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0859, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1803e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0896, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.6933e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0865, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0565e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0875, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.8591e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0849, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.4961e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0854, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.7796e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0854, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(4.6219e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0863, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.2927e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0864, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.2252e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0887, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.7971e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0870, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.7711e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0840, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.0557e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0848, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.1327e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0873, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(6.5684e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0842, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.1684e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0856, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.6308e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0837, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0398e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0833, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.8259e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0832, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.1005e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0842, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2900e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0876, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.3998e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0857, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.1659e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0849, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(4.9620e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0825, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.1844e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0812, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(5.8436e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0845, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.3165e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0843, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.8739e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0830, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.3644e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0808, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0955e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0812, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0670e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0809, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.7583e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0866, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.2941e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0807, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0396e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0793, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.8099e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0805, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(5.7367e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0823, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.9322e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0803, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.4870e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0828, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.8076e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0804, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(6.9579e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0806, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.4493e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0846, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.9602e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0799, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(5.1739e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0787, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.9022e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0806, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0651e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0807, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1451e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0810, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1924e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0810, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.4891e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0815, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0586e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0798, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.7636e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0788, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3657e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0893, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0705e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0781, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1088e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0807, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.7251e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0784, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1738e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0792, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1083e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0781, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1265e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0790, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.1289e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0778, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0887e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0794, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0424e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0781, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.6156e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0779, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1211e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0789, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0966e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0809, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0450e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0773, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0577e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0767, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0616e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0761, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.8458e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0795, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0794e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0772, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3345e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0752, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0102e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0757, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.0143e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0740, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3699e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0777, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.4703e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0775, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2310e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0771, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.4112e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0752, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0057e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0778, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2614e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0784, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.0318e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0780, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3198e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0762, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.3038e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0783, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1696e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0758, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1945e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0763, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.7635e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0800, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.6601e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0774, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2813e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0784, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.9184e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0773, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2760e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0755, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2449e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0728, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.4539e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0756, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3091e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0744, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2936e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0749, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3831e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0776, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.0143e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0745, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3259e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0740, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1165e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0743, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1984e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0731, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2959e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0774, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.4981e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0731, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3018e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0801, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.6868e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0771, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.5428e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0807, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.3279e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0757, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.5419e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0784, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2219e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0741, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.5496e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0730, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2866e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0726, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.2540e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0727, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(1.1326e-06, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0722, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.4558e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0706, device='cuda:0', grad_fn=<MeanBackward0>)
